device_id,host_rcpn,device_type,beacon_rcpn,St,P,E,I,V,Rb,T,O0,O1,O2,O3,O4,O5,O6,O7,O8,O9,OA,OB,OC,OD,OE,OF,OG,timestamp_utc
183781523,183781523,device,183756454,2080,4995,3915,-1275,8615294,8199,547,2456,4792,3883,6,3,42517,77,14692,114,64270,24143,31377,0,4096,26195,36864,0,2020-10-07 14:43
183756454,183781523,device,183756454,8192,0,0,0,0,1,397,0,8213,3,19795,21057,11604,19786,77,0,1,0,0,0,0,0,0,0,2020-10-07 14:43
183756430,183781523,device,183756454,8208,1191,3913,306,1779693,8275,385,1191,776,1546,5,0,9855,7392,2817,2817,1,2817,2808,7190,22558,1241,2815,10345,2020-10-07 14:43
183756414,183781523,device,183756454,768,0,3912,0,1036415,8199,169,0,3004,13325,0,0,817,0,1811,3827,3874,169,194,0,0,13,58945,19145,2020-10-07 14:43
183756431,183781523,device,183756454,8208,1077,3914,277,2028342,8275,344,1077,774,1405,0,8,135,330,33472,6283,0,0,0,0,0,0,0,9735,2020-10-07 14:43
183756434,183781523,device,183756454,8208,807,3914,208,1749976,8275,320,807,404,2021,0,4267,14,50,78,0,17920,157,1000,4558,4,2902,2472,3456,2020-10-07 14:43
183756433,183781523,device,183756454,8208,1198,3912,307,2517231,8275,382,1198,793,1518,5,0,12968,11347,2768,2772,2,2772,2779,7178,22157,1254,2774,10357,2020-10-07 14:43
183781523,183781523,device,183756454,2080,5230,3918,-1334,8615215,8199,550,2455,5017,4105,6,3,42517,77,14629,114,64270,52047,12177,0,4096,26195,36864,0,2020-10-07 14:42
183756454,183781523,device,183756454,8192,0,0,0,0,1,397,0,8273,3,19795,21057,11604,19786,77,0,1,0,0,0,0,0,0,0,2020-10-07 14:42
183756430,183781523,device,183756454,8208,1268,3916,320,1779673,8275,389,1268,828,1514,5,0,13252,9939,2769,2765,0,2765,2771,7210,22158,1260,2767,10764,2020-10-07 14:42
183756414,183781523,device,183756454,768,-1,3919,0,1036415,8199,169,0,3004,13325,0,0,817,0,1811,3827,3874,169,194,0,0,13,58945,18889,2020-10-07 14:42
